Season,Episode,Title,Description,AirDate,Rating,Voters
16,20,"Are You There God? It's Me, Peter","After falling into a coma, Peter comes face-to-face with God, leading him to ask some of life's tough questions.",20 May 2018,6.5,(913)
17,1,Married with Cancer,"Brian quickly falls in love with a woman, and after receiving devastating news regarding her cancer diagnosis, he proposes marriage.",30 Sep. 2018,6.4,"(1,198)"
17,2,Dead Dog Walking,"Brian's marriage to Jess doesn't go as planned, so at Peter's suggestion, he lets himself go, leading Jess to make a surprising decision.",7 Oct. 2018,6.8,"(1,086)"
17,3,Pal Stewie,Stewie befriends a boy his age; Peter and Lois attend a seminar on self-empowerment.,14 Oct. 2018,6.9,(999)
17,4,Big Trouble in Little Quahog,Stewie invents a shrinking machine that shrinks him and Brian down to microscopic size.,21 Oct. 2018,7.7,"(1,180)"
17,5,Regarding Carter,"Carter gives Lois a surprising birthday present that leads to an unfortunate accident, leaving him dependent on the Griffins' care.",4 Nov. 2018,6.5,(881)
17,6,Stand by Meg,Stewie vows to make Meg's life better after she saves him from choking; Chris is sent to a vocational school.,11 Nov. 2018,6.7,(906)
17,7,The Griffin Winter Games,Meg takes the family by surprise when she makes the US Winter Olympics team.,18 Nov. 2018,6.8,(947)
17,8,Con Heiress,Stewie and Brian compete for the inheritance of a wealthy old heiress. Peter and Chris battle for Mr. Herbert's affection.,2 Dec. 2018,5.6,"(1,087)"
17,9,Pawtucket Pete,"When the Pawtucket Brewery's new bosses want to change the company's mascot, Peter and Brian go head-to-head to become the new face.",9 Dec. 2018,6.6,(851)
17,10,Hefty Shades of Gray,Tom Tucker teaches Peter how to report fake news; Brian and Stewie help Chris improve his love life.,6 Jan. 2019,6.5,(911)
17,11,Trump Guy,The Griffins move to the White House where Peter is hired as the new Press Secretary.,13 Jan. 2019,5.7,"(2,455)"
17,12,"Bri, Robot","Brian worries about his legacy, so Stewie makes him a robot duplicate as a living biography; Peter starts working at a massage parlor.",10 Feb. 2019,6.7,(844)
17,13,Trans-Fat,Peter learns an important lesson when he's mistakenly identified as transgender.,17 Feb. 2019,6.0,(911)
17,14,Family Guy Lite,"Peter goes on a health kick; when Lois starts writing a romantic fantasy novel, Brian and Stewie investigate into her possible crush.",3 Mar. 2019,6.7,(817)
17,15,"No Giggity, No Doubt",Quagmire discovers a long-lost daughter and makes a serious effort to embrace parenting.,10 Mar. 2019,6.6,(848)
17,16,You Can't Handle the Booth,The Griffins provide DVD commentary on a recent episode and reveal never-before-told drama between Peter and Lois.,24 Mar. 2019,4.1,"(1,984)"
17,17,Island Adventure,Stewie and Brian travel to Garbage Island to retrieve his tricycle after Peter throws it out; Lois tries to help Quagmire court a middle-aged woman.,31 Mar. 2019,6.9,(873)
17,18,Throw It Away,"Lois challenges the other Griffins to throw out anything that no longer gives them joy, only to take the decluttering to a surprising extreme.",28 Apr. 2019,6.6,(854)
17,19,"Girl, Internetted",Meg becomes famous on the internet for her unhealthy eating; Brian and Stewie enjoy a new ride while Brian's car gets fixed.,5 May 2019,6.8,(856)
17,20,Adam West High,"Brian runs for Mayor after successfully renaming James Woods High after the late Adam West, only for Quagmire to campaign against him.",12 May 2019,6.9,(859)
18,1,Yacht Rocky,"When the brewery announces it will be firing one employee, the family take Peter on a cruise to calm his nerves, but the trip doesn't go as planned.",29 Sep. 2019,5.8,"(1,172)"
18,2,Bri-Da,Peter and the guys use Joe's body cams to remember the million-dollar ideas they have while drinking; Quagmire must come to terms with an unexpected family development.,6 Oct. 2019,5.8,(955)
18,3,Absolutely Babulous,"Stewie wins a participation award in his school's toddler games, leading him to question everything he's ever won; Peter causes a fight between Lois' parents and has to repair the damage.",13 Oct. 2019,6.5,(833)
18,4,Disney's The Reboot,The network decides to reboot FAMILY GUY and the feedback takes surprising turns when three versions are shown to a focus group.,20 Oct. 2019,7.2,"(1,059)"
18,5,Cat Fight,Brian tries to shut down Quagmire's cat café; Lois decides to send Meg and Chris to church camp when they get in trouble at school.,3 Nov. 2019,6.7,(831)
18,6,Peter & Lois' Wedding,"When the Wi-Fi goes out, Peter and Lois tell the kids the story of how they met and fell in love in this spoof of the '90s sitcom Friends and everything else '90s.",10 Nov. 2019,7.0,(866)
18,7,Heart Burn,"To celebrate Peter and Lois' wedding anniversary, the Griffins present their own versions of three well-known love stories.",17 Nov. 2019,6.7,(803)
18,8,Shanksgiving,Peter gets himself arrested to avoid Lois' special Thanksgiving dinner; A secret that Stewie's been keeping from everyone is revealed.,24 Nov. 2019,6.5,(765)
18,9,Christmas Is Coming,Meg gets a surprising response when she takes Stewie to meet Santa at the mall; Brian tries to help when the experience leaves Stewie scarred.,15 Dec. 2019,6.7,(849)
18,10,Connie's Celica,Lois becomes the target of Connie's antics when she gets a job as the high school's music teacher.,5 Jan. 2020,6.5,(729)
18,11,Short Cuts,"When Brian accidentally becomes a local hero, an old street pal who is now a successful millionaire dog reaches out and tries to convince him to get neutered; Lois gets a pixie cut against Peter's wishes.",16 Feb. 2020,6.6,(708)
18,12,Undergrounded,Peter builds a tunnel to the Drunken Clam after Lois grounds him for secretly getting a credit card and spending all of the family's money.,23 Feb. 2020,6.7,(709)
18,13,Rich Old Stewie,"In the future, Stewie is a rich old man enjoying his retirement when Brian brings news about Peter dying.",1 Mar. 2020,7.1,(815)
18,14,The Movement,Peter becomes the face of racial justice when diarrhea makes him kneel during the national anthem as he starts coaching a minor league baseball team.,8 Mar. 2020,6.6,(720)
18,15,Baby Stewie,"Stewie builds a machine to help him stay smart, but it turns him into an actual baby.",15 Mar. 2020,7.1,(762)
18,16,Start Me Up,Peter is told to work from home when his sweat becomes a liability; Stewie and Chris create a fake Kickstarter campaign with Brian to pay for the damages done to an electronics store.,19 Apr. 2020,6.4,(711)
18,17,Coma Guy,Peter's newfound love for rocking out to Van Halen results in him getting into a car accident and falling into a coma.,26 Apr. 2020,7.0,(744)
18,18,Better Off Meg,"The Griffins experience life without Meg when she's erroneously reported to have died in a car crash, and she goes along with the story to start a new life elsewhere.",3 May 2020,6.6,(709)
18,19,Holly Bibble,"Following another blackout, the Griffins re-imagine three stories from the Bible about Adam and Eve, Noah, and the Last Supper while cooped up in a motel room during a storm.",10 May 2020,6.4,(807)
18,20,Movin' In (Principal Shepherd's Song),Principal Shepherd moves in with the Griffins when he gets fired for fat-shaming Chris at school; Brian sues Stewie for portraying him as an idiot in a series of children's books.,17 May 2020,6.7,(666)
19,1,Stewie's First Word,"Stewie finally says his first word - and it's a swear, leaving Lois shunned by the other moms, so she tries to figure out where Stewie could've heard it.",27 Sep. 2020,6.7,(931)
19,2,The Talented Mr. Stewie,"Stewie ""breaks up with"" Rupert after learning that he used to belong to Chris and decides to take action.",4 Oct. 2020,6.2,(824)
19,3,Boys & Squirrels,"When Peter hurts himself and a family of squirrels in a chainsaw accident, Chris and Stewie nurse one of the squirrels back to health; a chiropractor realigns Peter's spine and restores him to his true height.",11 Oct. 2020,5.8,(828)
19,4,CutawayLand,Peter and Lois get transported into a cutaway that they inadvertently set up at the same time.,1 Nov. 2020,6.1,(812)
19,5,La Famiglia Guy,Peter becomes a real gangster when Joe asks him to be the godfather of his daughter.,8 Nov. 2020,6.8,(816)
19,6,Meg's Wedding,Meg plans her wedding to an unexpected resident of Quahog; Peter loses his arms on one of his many adventures after finding a new vest.,15 Nov. 2020,6.4,(709)
19,7,Wild Wild West,Peter seeks out the cousin of the late Adam West when he disapproves of Lois' first choice to be the next mayor of Quahog.,22 Nov. 2020,7.0,(787)
19,8,Pawtucket Pat,"Brian gets a job as a journalist and discovers that Pawtucket Pat, the hero of Quahog and founder of the brewery, was a racist, so the town becomes divided over whether to take down his commemorative statue.",6 Dec. 2020,5.7,(795)
19,9,The First No L,The Griffins must save Christmas without Lois when she walks out on them for failing to help her with the shopping.,13 Dec. 2020,7.0,(703)
19,10,Fecal Matters,"Peter volunteers at the hospital after making it through a bad flu season and finds himself at a crossroads when his mortal enemy, The Giant Chicken, is admitted to ER. After learning he's part cat, Brian has an identity crisis.",17 Jan. 2021,7.3,(723)
19,11,Boy's Best Friend,"Brian bonds with his new girlfriend's son; Peter, Quagmire, and Cleveland take a joyride in Joe's new classic Corvette.",21 Feb. 2021,6.8,(618)
19,12,And Then There's Fraud,"Peter and Chris start a memorabilia business after going to a baseball game; Stewie gets plastic surgery to combat aging, but takes it too far.",28 Feb. 2021,6.1,(652)
19,13,PeTerminator,"Stewie builds a Terminator resembling Peter to destroy Lois for trying to make him eat broccoli, but his life is in danger when things don't go as planned.",7 Mar. 2021,7.9,(920)
19,14,The Marrying Kind,Stewie experiences domestic life when he gets a mail-order bride from Ukraine; Peter and Chris become addicted to free hotel breakfast buffets.,14 Mar. 2021,6.7,(600)
19,15,Customer of the Week,"After feeling unappreciated by the family, Lois taps into her villainous side and attempts to win ""Best Customer"" at her favorite coffee shop.",28 Mar. 2021,7.3,(742)
19,16,Who's Brian Now?,"A microchip in Brian reveals that he once lived with another family, making it difficult for him to enjoy his life with the Griffins.",11 Apr. 2021,6.7,(571)
19,17,Young Parent Trap,"A couple at Stewie's school mistake Peter and Lois for ""younger parents"" and invite them to live in a millennial apartment complex, leaving Meg and Chris home alone.",18 Apr. 2021,7.1,(599)
19,18,Meg Goes to College,Meg endures a college admissions scandal caused by Peter and Lois; Brian goes on a fitness journey.,2 May 2021,6.7,(552)
19,19,Family Cat,The Griffins adopt a cat that Brian believes is evil.,9 May 2021,7.1,(599)
19,20,Tales of Former Sports Glory,"Cleveland, Quagmire, and Peter share stories of athletic accomplishments from their youth.",16 May 2021,6.2,(623)
20,1,LASIK Instinct,"Lois decides to get LASIK surgery, but exploits her failing vision for personal gain; Peter, Chris, Stewie, and Brian must partake in activities with Doug that his father neglects.",26 Sep. 2021,6.4,(711)
20,2,Rock Hard,"While at an old record store, Peter and the guys tell stories of three rock legends: Jim Morrison, Muddy Waters, and Elton John.",3 Oct. 2021,6.0,(631)
20,3,Must Love Dogs,Quagmire pretends Brian is his dog when he meets an avid dog lover; Chris helps Stewie retrieve his stolen Halloween candy.,10 Oct. 2021,6.9,(585)
20,4,80's Guy,Peter's nostalgia for the '80s compels him to recreate iconic movie scenes from that decade; Stewie competes with Doug to retrieve a frisbee from the top of the jungle gym.,17 Oct. 2021,6.7,(551)
20,5,Brief Encounter,Peter and Quagmire mimic each other's behavior when they accidentally switch underwear; Stewie and Doug agree to commit each other's murders.,24 Oct. 2021,6.5,(545)
20,6,Cootie & The Blowhard,"Stewie fears he has a terminal case of ""cooties""; Peter enjoys Bonnie's cooking.",7 Nov. 2021,6.6,(511)
20,7,Peterschmidt Manor,Peter turns the Pewterschmidt mansion into a hotel while Lois and Carter attend the funeral of Lois' childhood nanny.,14 Nov. 2021,6.5,(491)
20,8,The Birthday Bootlegger,Peter's new boss bans his favorite part about work: office birthdays; Stewie gets detention and turns rough.,21 Nov. 2021,6.5,(507)
20,9,The Fatman Always Rings Twice,Peter does a noir-style investigation of Meg's disappearance.,28 Nov. 2021,7.6,(657)
20,10,Christmas Crime,Brian is accused of ruining Mayor West's nativity scene.,19 Dec. 2021,6.8,(488)
20,11,Mister Act,"Peter has an accident that leaves him with a high-pitched voice, so Jesus helps him fend off the other choir boys; Stewie becomes attracted to Lois' masculine physique.",9 Jan. 2022,6.3,(524)
20,12,The Lois Quagmire,Lois takes Quagmire to her high school reunion instead of Peter; the rest of the family tries to cover up a pizza delivery man's death.,27 Feb. 2022,6.8,(465)
20,13,Lawyer Guy,"Peter hires the town's new lawyer, Brick Baker, to represent him in litigation against his new neighbor, who turns out to be Brick. Brian and Stewie become lobstermen and save Rupert from the perils of the deep.",6 Mar. 2022,6.3,(459)
20,14,HBO-No,"The Griffins present their versions of three HBO shows: ""Game of Thrones"", ""Succession"" and ""Big Little Lies"".",13 Mar. 2022,6.2,(471)
20,15,Hard Boiled Meg,"Meg becomes a getaway driver; Quagmire, unable to cure his hiccups, asks Peter to kill him.",20 Mar. 2022,7.1,(449)
20,16,Prescription Heroine,Lois becomes addicted to painkillers prescribed for Brian after he gets hurt. Peter's ping pong table becomes the hot spot in the neighborhood.,27 Mar. 2022,6.6,(435)
20,17,All About Alana,"Lois' piano student, Alana, comes to work for the Griffins and turns out to have sinister intentions.",1 May 2022,6.8,(434)
20,18,"Girlfriend, Eh?",Peter and Chris go to Canada to prove that Chris' girlfriend exists; Lois and Meg fight each other for the attention of a handsome handyman.,8 May 2022,6.4,(411)
20,19,First Blood,Peter and the guys test their physical prowess at Mayor West's dude ranch; Stewie believes he's gotten his first period.,15 May 2022,6.2,(375)
20,20,Jersey Bore,"Peter goes to a business conference in Atlantic City with Preston; Stewie helps Chris prepare for his role in Adam West High's presentation of ""Romeo and Juliet"".",22 May 2022,6.0,(335)
