Season,Episode,Title,Description,AirDate,Rating,Voters
3,14,Me? Jealous?,"Claire thinks Phil's prospective new client is hitting on her, tensions rise as Mitchell and Cameron temporarily stay with Jay and Gloria, and Alex becomes jealous when Hayley volunteers as a Big Sister.",8 Feb. 2012,7.9,"(1,967)"
3,15,Aunt Mommy,"Claire makes a drunken decision to donate her egg for Mitchell and Cameron's next child, while Manny gets hurt after Jay gets him into a football game.",15 Feb. 2012,8.1,"(1,957)"
3,16,Virgin Territory,"Alex accidentally reveals a secret about Haley to their dad, Cameron fakes a back injury to catch Claire in a lie, Mitchell confesses a secret about one of Jay's proudest moments, and Luke helps Manny try to impress a girl.",22 Feb. 2012,7.8,"(1,968)"
3,17,Leap Day,"Claire, Hayley, and Alex's cycles ruin Phil's big Leap Day plans, Mitchell tries to throw an elaborate party for Cameron's ""tenth"" birthday, and Gloria wants Jay to get in a fight.",29 Feb. 2012,8.0,"(2,023)"
3,18,Send Out the Clowns,"Cameron reunites an old clown act despite Mitchell's warnings, Phil plays hardball with a rival to get a listing, Manny's new ""friend"" has a crush on Gloria, and Claire wants her daughters to friend her on Facebook.",14 Mar. 2012,7.4,"(1,935)"
3,19,Election Day,"It's Claire's election day, and the entire family tries in vain to pitch in to help her win the vote. Meanwhile, Haley anxiously awaits her final chance to get accepted into a college.",11 Apr. 2012,7.7,"(1,941)"
3,20,The Last Walt,"Cameron's dad is visiting from the farm, and when Jay comes over, it's two manly men squaring off.",18 Apr. 2012,7.5,"(1,867)"
3,21,"Planes, Trains and Cars","Phil makes an impulsive car purchase and wonders how Claire will react, Jay struggles to get himself and his family to a weekend with the guys at Pebble Beach, and Mitchell and Cameron lose Lily's stuffed bunny on the subway.",2 May 2012,7.7,"(1,872)"
3,22,Disneyland,Visiting the happiest place on earth triggers old memories and creates new ones.,9 May 2012,8.1,"(2,021)"
3,23,Tableau Vivant,"Jay and Gloria argue about how a waitress is closer to Jay than Gloria. Luke is awarded a medal for putting out a fire he started, Phil tries to fire Mitchell, and Claire and Cam fight about Cam's parenting strategies.",16 May 2012,7.9,"(1,878)"
3,24,Baby on Board,"Jay and Manny are left to accompany Lily at her recital as Mitchell and Cameron bring Gloria along as translator as they adopt a Mexican child. Meanwhile, Haley has a surprise announcement about her plans after high school.",23 May 2012,8.5,"(2,197)"
4,1,Bringing Up Baby,"Gloria tries to surprise Jay with news on his birthday that she is pregnant, while Phil surprises Jay with a fishing trip. Meanwhile, Mitchell and Cameron debate getting Lily a cat after she loses out on getting a baby brother.",26 Sep. 2012,8.2,"(2,266)"
4,2,Schooled,"Phil and Claire get emotional as they send Haley off to school, Manny makes Jay and Gloria take a parenting class, and Mitchell and Cameron clash with lesbian parents from Lily's school.",10 Oct. 2012,8.6,"(2,428)"
4,3,Snip,"Claire has problems with the kids as Phil prepares to get a vasectomy, Gloria refuses to wear maternity clothes, and Mitchell encourages Cameron to get a job.",10 Oct. 2012,8.0,"(1,918)"
4,4,The Butler's Escape,"Phil is upset that Luke wants to give up magic, Jay tries to get away from Gloria's snoring, Mitchell does errands as Cameron starts his new job as music teacher, and Alex suddenly becomes more sarcastic.",17 Oct. 2012,7.6,"(1,853)"
4,5,Open House of Horrors,"Claire tries to scare Phil on Halloween night, Cameron tries to show off his new slimmer body at his Halloween party, and Mitchell's white lie about Lily's mother gets him in trouble.",24 Oct. 2012,7.9,"(1,926)"
4,6,Yard Sale,"A yard sale at Jay's house reveals a secret in Gloria's past, Phil's wild side when he tries Jay's old motorcycle, and concern that Alex's new boyfriend might be gay.",31 Oct. 2012,7.7,"(1,866)"
4,7,Arrested,"When Haley is arrested for underage drinking, Phil, Claire, and Mitchell must intervene, leaving Cameron in charge of the kids. Jay's ex-wife, DeDe, makes a surprise visit, and he desperately tries to hide Gloria's pregnancy from her.",7 Nov. 2012,8.4,"(2,105)"
4,8,Mistery Date,"While Claire and the kids are away at one of Alex's competitions, one of Cam's friends has a ""date"" with Phil. Meanwhile, Mitchell has a breakthrough with Jay on a shopping trip, and Cameron gets Jay and Gloria a surprise gift.",14 Nov. 2012,8.1,"(2,005)"
4,9,When a Tree Falls,"Mitchell and Cameron fight to save a tree, Phil and Jay literally come to blows at a kids' birthday party, Claire goes shopping with Gloria--who is suffering from ""pregnancy brain,"" and Alex tries to get an embarrassing photo of Haley.",28 Nov. 2012,7.7,"(1,863)"
4,10,Diamond in the Rough,Gloria buys a microphone so she can sing to her unborn baby. Claire and Cameron try to renovate a baseball field so Luke's and Manny's baseball team has a place to play.,12 Dec. 2012,7.7,"(1,842)"
4,11,New Year's Eve,"On New Year's Eve, Jay plays poker with Billy Dee Williams, Phil and Claire try to rekindle their romance, Mitchell and Cameron search for a bar where they fit in, and Haley and Alex stay home to babysit.",9 Jan. 2013,8.0,"(1,899)"
4,12,Party Crasher,"Jay and Gloria throw a surprise birthday party for Manny, but their unborn baby may have other plans. Meanwhile, Haley dates a man twice her age, and Cameron becomes jealous of Mitchell and Lily's relationship",16 Jan. 2013,8.4,"(2,107)"
4,13,Fulgencio,"Jay fights with his mother in law over naming the baby, Phil unsuccessfully tries to solve his kids' problems, and Mitchell and Cameron try to curb Lily's snarkiness.",23 Jan. 2013,8.9,"(3,368)"
