Season,Episode,Title,Description,AirDate,Rating,Voters
6,6,The Extract Obliteration,Penny enrolls in a college class and keeps it a secret from Leonard. Sheldon causes conflict with Dr. Stephen Hawking over an online game.,1 Nov. 2012,7.8,"(3,160)"
6,7,The Habitation Configuration,"Howard makes a decision whether or not to move out of his mother's house, while Sheldon is caught in the middle of an argument between Amy and Wil Wheaton.",8 Nov. 2012,7.7,"(3,129)"
6,8,The 43 Peculiarity,"Leonard feels threatened after hearing about Penny's study partner at school, while Howard and Raj become determined to find out one of Sheldon's secrets.",15 Nov. 2012,8.4,"(3,648)"
6,9,The Parking Spot Escalation,The gang are drawn into a fight between Howard and Sheldon over Sheldon's vacant parking spot at the university.,29 Nov. 2012,8.2,"(3,537)"
6,10,The Fish Guts Displacement,"Howard tries to bond with Bernadette's father during a fishing trip. When Sheldon is obligated to take care of a sick Amy, she finds ways to take advantage of the situation.",6 Dec. 2012,8.0,"(3,320)"
6,11,The Santa Simulation,The girls take Raj out to a nightclub to find him a date. A game of Dungeons and Dragons rekindle old memories of Santa for Sheldon.,13 Dec. 2012,7.8,"(3,201)"
6,12,The Egg Salad Equivalency,"When Penny finds out Alex has a crush on Leonard, Sheldon gets himself and the rest of the guys in trouble with Human Resources whilst trying to solve the problem.",3 Jan. 2013,8.4,"(3,605)"
6,13,The Bakersfield Expedition,"The guys are stranded in the middle of nowhere when Leonard's car is stolen on the way to the Bakersfield Comic-Con. Back home, the girls try to figure out why the guys are so fascinated with comic books.",10 Jan. 2013,8.4,"(3,603)"
6,14,The Cooper/Kripke Inversion,Sheldon is forced to work with Kripke on a project and must concoct an elaborate lie when he can't hold up his end of the work. Howard and Raj get superhero figurines made of themselves.,31 Jan. 2013,7.8,"(3,160)"
6,15,The Spoiler Alert Segmentation,"Leonard moves in with Penny after a fight with Sheldon, which causes Amy to want to move in with Sheldon. Meanwhile, Raj has a frightening experience with Howard's mother.",7 Feb. 2013,8.2,"(3,290)"
6,16,The Tangible Affection Proof,"Sheldon gets Alex to buy a Valentine's Day gift for Amy. Leonard, Penny, Howard and Bernadette have a disastrous dinner together. Raj and Stuart host a ""Lonely People"" party at the comic book store.",14 Feb. 2013,7.8,"(3,198)"
6,17,The Monster Isolation,"Raj falls apart after his date sneaks out on him, and Sheldon reluctantly returns the favor after Penny helps him out with his ""Fun With Flags"" program.",21 Feb. 2013,7.6,"(3,050)"
6,18,The Contractual Obligation Implementation,"Leonard, Sheldon and Howard give lectures on science to junior high students. The girls ditch work to go to Disneyland. Raj devises a date for Lucy that fixes their social anxiety problems.",7 Mar. 2013,7.7,"(3,133)"
6,19,The Closet Reconfiguration,Howard becomes upset when Sheldon finds a letter from his estranged father whilst cleaning out his and Bernadette's closet.,14 Mar. 2013,8.1,"(3,299)"
6,20,The Tenure Turbulence,"Leonard, Sheldon, Raj and Kripke battle for tenure at the university.",4 Apr. 2013,8.0,"(3,199)"
6,21,The Closure Alternative,Amy tries to help a depressed Sheldon find closure when one of his favorite TV shows is canceled. Raj becomes paranoid when he finds Lucy's blog.,25 Apr. 2013,8.0,"(3,160)"
6,22,The Proton Resurgence,Bernadette and Howard offer to watch Raj's dog and live to regret it. Leonard and Sheldon hire their favorite childhood star to make an appearance.,2 May 2013,7.9,"(3,263)"
6,23,The Love Spell Potential,"A date between Raj and Lucy takes both of them out of their comfort zones. After a trip to Las Vegas goes awry, the girls join in on a Dungeons and Dragons game, which causes Amy and Sheldon to re-evaluate their relationship.",9 May 2013,8.1,"(3,314)"
6,24,The Bon Voyage Reaction,"Penny is thrown for a loop when Leonard is offered a job overseas, but the news is an even bigger shock to Sheldon. Raj and Lucy's relationship comes to a crossroad.",16 May 2013,7.7,"(3,127)"
7,1,The Hofstadter Insufficiency,Sheldon and Penny bond over missing Leonard. Howard tries to help Raj get over his breakup with Lucy. Amy and Bernadette take a trip together to a biology convention.,26 Sep. 2013,7.8,"(3,516)"
7,2,The Deception Verification,Sheldon feels betrayed when Leonard returns from the North Sea and wants to spend his time with Penny instead of him. Howard's latest foray into helping his mother has some disastrous side effects.,26 Sep. 2013,8.0,"(3,470)"
7,3,The Scavenger Vortex,The gang get competitive when they are forced to take part in Raj's scavenger hunt.,3 Oct. 2013,8.7,"(4,195)"
7,4,The Raiders Minimization,"Sheldon gets mad at Amy for ruining one of his favorite movies, Raj and Stuart try to make their online dating profiles more appealing, and Leonard tries to play the sympathy card with Penny.",10 Oct. 2013,7.9,"(3,192)"
7,5,The Workplace Proximity,"After a fight with Bernadette, Howard ends up on Raj's couch. Sheldon and Amy clash when Amy takes a job at the university.",17 Oct. 2013,7.6,"(3,047)"
7,6,The Romance Resonance,Howard plans something special to celebrate the anniversary of his first date with Bernadette. Sheldon is conflicted when he makes a major scientific breakthrough but some details have to be corrected.,24 Oct. 2013,8.4,"(3,643)"
7,7,The Proton Displacement,"Sheldon seeks payback when Arthur ""Professor Proton"" Jeffries asks Leonard for help on a project instead of him. Raj gets upset at Howard for crashing his night with the girls.",7 Nov. 2013,7.8,"(3,107)"
7,8,The Itchy Brain Simulation,"Sheldon demands Leonard make up for a mistake from their past. Penny confronts Raj's ex-girlfriend, Lucy.",14 Nov. 2013,7.6,"(3,081)"
7,9,The Thanksgiving Decoupling,"The gang spend Thanksgiving at Mrs. Wolowitz's house. Howard tries to bond with his father-in-law, and a mistake from Penny's past comes back to haunt her.",21 Nov. 2013,8.8,"(4,277)"
7,10,The Discovery Dissipation,Leonard has to deal with the fallout of disproving Sheldon's new scientific discovery. Raj spends a week at Howard and Bernadette's apartment.,5 Dec. 2013,7.6,"(2,890)"
7,11,The Cooper Extraction,"While Sheldon is at home in Texas, the rest of the gang decorate for Christmas and think about how much he has affected their lives.",12 Dec. 2013,8.1,"(3,230)"
7,12,The Hesitation Ramification,"After Leonard tries to help Penny following a failed role on a TV show, she makes an important decision. Meanwhile, Raj and Stuart try to practice their social skills, and Sheldon navigates the intricacies of being funny.",2 Jan. 2014,7.4,"(2,955)"
7,13,The Occupation Recalibration,Sheldon tries to relax after he is forced to take a vacation. Leonard struggles to be supportive of Penny after she quits her job. Amy receives unwanted attention from a co-worker. Bernadette seeks Stuart's help in replacing one of Howard's comic books.,9 Jan. 2014,7.5,"(2,930)"
7,14,The Convention Conundrum,"When the guys can't get hold of any Comic-Con tickets, Sheldon tries to hold his own convention and ends up spending a wild night with James Earl Jones. Meanwhile, the girls try to feel more mature by going to a fancy hotel for tea.",30 Jan. 2014,8.0,"(3,170)"
7,15,The Locomotive Manipulation,Sheldon and Amy take a train ride to Napa Valley with Howard and Bernadette on Valentine's Day. Leonard and Penny take Raj's dog to the vet when she accidentally eats some chocolate.,6 Feb. 2014,8.2,"(3,352)"
7,16,The Table Polarization,"Leonard's purchase of a dining room table causes Sheldon to reevaluate the changes in his life. Meanwhile, Howard is offered a chance to go back to space and Bernadette struggles with whether or not to encourage him.",27 Feb. 2014,7.6,"(2,827)"
7,17,The Friendship Turbulence,"After arguing with Sheldon, Howard tries to make amends by taking him to NASA headquarters in Houston. Penny has second thoughts about quitting her waitressing job when her car dies. Amy gets involved in trying to find Raj a date.",6 Mar. 2014,7.4,"(2,795)"
7,18,The Mommy Observation,"When Sheldon visits his mother in Houston, he is forced to confront a new reality. Back in Pasadena, the rest of the gang reluctantly take part in Raj's Murder Mystery party.",13 Mar. 2014,7.4,"(2,868)"
